locus_id,chrom,sentinel_pos,confidence,label_set,gene_id,gene_name,gene_biotype,label,abs_tss_distance,tss_distance_rank,is_nearest_tss,has_any_brain_eqtl,brain_eqtl_max_slope,brain_eqtl_max_neg_log10_pval,has_re2g_link,re2g_max_score,re2g_total_elements,has_both_eqtl_and_re2g
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000229589,ACVR2B-AS1,lncRNA,0,137831,3,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000183873,SCN5A,protein_coding,0,57092,1,1,1,0.557994544506073,4.827380260529858,1,0.999997257237998,29,1
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000293885,ENSG00000293885,lncRNA,0,236791,8,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000231243,ENSG00000231243,lncRNA,0,231240,7,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000299092,ENSG00000299092,lncRNA,0,452892,14,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000299114,ENSG00000299114,lncRNA,0,455238,16,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000301772,ENSG00000301772,lncRNA,0,220937,5,0,0,0.0,-0.0,0,0.0,0,0
LOC_3_38592651_GCST006061_3,3,38592651,High,ot_platform,ENSG00000308516,ENSG00000308516,lncRNA,0,427163,12,0,0,0.0,-0.0,0,0.0,0,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000139287,TPH2,protein_coding,1,403198,7,0,1,0.34934934973716736,4.889881849508071,1,0.999998894417888,6,1
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000258115,ENSG00000258115,lncRNA,0,284666,5,0,0,0.0,-0.0,0,0.0,0,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000121749,TBC1D15,protein_coding,0,502336,9,0,1,0.3136228919029236,5.4750571033452635,1,0.9999788535042874,2,1
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000072657,TRHDE,protein_coding,0,254777,4,0,0,0.0,-0.0,1,0.99999267899635,9,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000296317,ENSG00000296317,lncRNA,0,157007,3,0,0,0.0,-0.0,0,0.0,0,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000301751,ENSG00000301751,lncRNA,0,7111,1,1,0,0.0,-0.0,0,0.0,0,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000258235,ENSG00000258235,lncRNA,0,482117,8,0,0,0.0,-0.0,0,0.0,0,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000302314,ENSG00000302314,lncRNA,0,374554,6,0,0,0.0,-0.0,0,0.0,0,0
LOC_12_72342043_GCST90061435,12,72342043,High,ot_platform,ENSG00000236333,TRHDE-AS1,lncRNA,0,65089,2,0,1,1.5704959630966187,20.10599119931247,1,0.9999999968017064,10,1
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000166682,TMPRSS5,protein_coding,0,125330,3,0,1,1.0250697135925293,28.775656118649312,1,0.9999962104790504,8,1
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000109906,ZBTB16,protein_coding,0,477998,23,0,0,0.0,-0.0,1,0.9999979005617108,17,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000166736,HTR3A,protein_coding,1,394032,20,0,0,0.0,-0.0,1,0.9999983643583428,11,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000149305,HTR3B,protein_coding,0,323753,17,0,1,1.0830414295196533,13.760709322886589,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000086827,ZW10,protein_coding,0,192692,6,0,0,0.0,-0.0,1,0.999959492372726,4,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000256603,ENSG00000256603,lncRNA,0,190648,5,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000228607,CLDN25,protein_coding,0,198753,8,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000256452,ENSG00000256452,lncRNA,0,237034,11,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000048028,USP28,protein_coding,0,294529,14,0,0,0.0,-0.0,1,0.999986184190223,6,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000149294,NCAM1,protein_coding,0,619768,26,0,1,0.19630897045135498,5.0010304812637525,1,0.999996128089918,9,1
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000227487,NCAM1-AS1,lncRNA,0,307011,16,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000255129,TTC12-DT,lncRNA,0,266561,13,0,1,0.48924607038497925,4.46901746235101,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000149292,TTC12,protein_coding,0,266464,12,0,1,0.7849679589271545,40.34140380783291,1,0.9999947892385334,12,1
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000270179,ENSG00000270179,lncRNA,0,212565,10,0,1,0.567892849445343,16.213469772510734,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000170209,ANKK1,protein_coding,0,193264,7,0,1,1.2435418367385864,27.08952566402792,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000256757,ENSG00000256757,lncRNA,0,175722,4,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000149295,DRD2,protein_coding,0,105352,2,0,1,0.7059448957443237,7.845293320815053,1,0.9999999973732164,34,1
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000300211,ENSG00000300211,lncRNA,0,420609,21,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000300237,ENSG00000300237,lncRNA,0,437047,22,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000300465,ENSG00000300465,lncRNA,0,294692,15,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000300648,ENSG00000300648,lncRNA,0,30523,1,1,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000300886,ENSG00000300886,lncRNA,0,371692,18,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000289230,ENSG00000289230,lncRNA,0,478398,24,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000309928,ENSG00000309928,lncRNA,0,499720,25,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000310174,ENSG00000310174,lncRNA,0,386680,19,0,0,0.0,-0.0,0,0.0,0,0
LOC_11_113581043_GCST90020227,11,113581043,High,ot_platform,ENSG00000293283,ENSG00000293283,lncRNA,0,208188,9,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000102900,NUP93,protein_coding,0,229131,14,0,1,0.3533080518245697,17.90820229238103,1,0.999918855168666,3,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000102970,CCL17,protein_coding,0,445518,45,0,0,0.0,-0.0,1,0.9999964004273584,22,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000102962,CCL22,protein_coding,0,399534,42,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000088682,COQ9,protein_coding,0,488176,49,0,1,1.0196527242660522,20.59120585245698,1,0.9999831426179088,4,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000005194,CIAPIN1,protein_coding,0,488171,48,0,0,0.0,-0.0,1,0.9999386531301816,4,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000006210,CX3CL1,protein_coding,0,413228,44,0,1,0.5314132571220398,4.645779690800792,1,0.9999883646540886,12,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000102891,MT4,protein_coding,0,394176,41,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000125148,MT2A,protein_coding,0,350665,38,0,0,0.0,-0.0,1,0.9999976317925316,11,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000260823,ENSG00000260823,lncRNA,0,347874,37,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000169715,MT1E,protein_coding,0,333774,35,0,1,2.3108150959014893,12.251213388573424,1,0.9999939870167092,5,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000205364,MT1M,protein_coding,0,326590,34,0,1,2.0747265815734863,4.85682020380543,1,0.9999958648480192,4,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000205362,MT1A,protein_coding,0,320583,31,0,0,0.0,-0.0,1,0.9999951877082486,5,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000169688,MT1B,protein_coding,0,307363,28,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000198417,MT1F,protein_coding,0,301518,27,0,1,3.130009889602661,6.677650459129585,1,0.9999983239209932,4,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000187193,MT1X,protein_coding,0,276779,16,0,1,0.42748478055000305,6.4120991883090275,1,0.9999951957124732,5,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000205358,MT1H,protein_coding,0,289435,23,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000087250,MT3,protein_coding,0,370175,39,0,1,0.2441001683473587,5.064556500186428,1,0.9999962557637162,13,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000087263,OGFOD1,protein_coding,0,507728,50,0,1,0.29441016912460327,5.201316241896558,1,0.9999434988770196,2,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000070915,SLC12A3,protein_coding,1,94042,7,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000051108,HERPUD1,protein_coding,0,27107,5,0,0,0.0,-0.0,1,0.9999948873952718,4,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000261270,ENSG00000261270,lncRNA,0,18971,3,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000261114,ENSG00000261114,lncRNA,0,18221,2,0,1,1.468361735343933,5.55382907335041,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000087237,CETP,protein_coding,0,2674,1,1,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000260145,ENSG00000260145,lncRNA,0,99248,8,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000260148,CPNE2-DT,lncRNA,0,133054,9,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000140848,CPNE2,protein_coding,0,133334,10,0,1,0.256018728017807,6.746433098341427,1,0.999986505465653,15,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000285979,ENSG00000285979,lncRNA,0,218100,11,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000102931,ARL2BP,protein_coding,0,286010,20,0,0,0.0,-0.0,1,0.9999732947785624,6,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000276663,ENSG00000276663,lncRNA,0,287147,21,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000260038,ENSG00000260038,lncRNA,0,288101,22,0,1,0.29524728655815125,4.8183703574975345,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000159579,RSPRY1,protein_coding,0,226888,13,0,0,0.0,-0.0,1,0.9999497854800958,2,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000125144,MT1G,protein_coding,0,291184,24,0,1,3.0922181606292725,5.363363649626357,1,0.9999999972918115,5,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000288725,ENSG00000288725,protein_coding,0,457752,46,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000125124,BBS2,protein_coding,0,376582,40,0,1,0.2367437332868576,13.708322239365408,1,0.9999932646182554,8,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000140853,NLRC5,protein_coding,0,30236,6,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000102934,PLLP,protein_coding,0,325423,33,0,0,0.0,-0.0,1,0.9999999944396794,12,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000172775,PSME3IP1,protein_coding,0,226867,12,0,1,0.5271421670913696,8.940065980131287,1,0.9999727002580648,3,1
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000261302,NUP93-DT,lncRNA,0,229207,15,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000299202,ENSG00000299202,lncRNA,0,410809,43,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000299579,ENSG00000299579,lncRNA,0,457936,47,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000307937,ENSG00000307937,lncRNA,0,25953,4,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000310278,ENSG00000310278,lncRNA,0,295884,25,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000310299,ENSG00000310299,lncRNA,0,283181,18,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000310325,ENSG00000310325,lncRNA,0,296555,26,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000291095,ENSG00000291095,lncRNA,0,315813,30,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000290663,MT1IP,lncRNA,0,283714,19,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000291105,ENSG00000291105,lncRNA,0,342497,36,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000259923,ENSG00000259923,lncRNA,0,311072,29,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000290662,MT1JP,lncRNA,0,323537,32,0,0,0.0,-0.0,0,0.0,0,0
LOC_16_56959249_GCST005194,16,56959249,Medium,ot_platform,ENSG00000259827,ENSG00000259827,lncRNA,0,276779,16,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000141577,CEP131,protein_coding,0,185118,28,0,1,0.26085954904556274,6.219916462749508,1,0.999990242657517,3,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000224877,NDUFAF8,protein_coding,0,168812,25,0,1,0.3687589466571808,7.346198901227791,1,0.9999858480178296,4,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000157637,SLC38A10,protein_coding,0,112570,20,0,1,0.6625813841819763,19.428485340122432,1,0.999999407684965,13,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000274833,ENSG00000274833,lncRNA,0,20702,6,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000263271,ENSG00000263271,lncRNA,0,53820,9,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000229848,ENSG00000229848,lncRNA,0,105930,18,0,1,1.7746988534927368,4.687513981949145,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000185504,FAAP100,protein_coding,0,145844,23,0,0,0.0,-0.0,1,0.9999874269313987,12,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000185527,PDE6G,protein_coding,1,254995,34,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000204237,OXLD1,protein_coding,0,258518,35,0,1,0.8019767999649048,6.235569115269426,1,0.9999943422425456,5,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000185298,CCDC137,protein_coding,0,258620,36,0,1,0.815535306930542,19.86315356326601,1,0.9999806377275224,2,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262814,MRPL12,protein_coding,0,295250,42,0,1,0.24136553704738617,6.137287583080969,1,0.9999893004365038,2,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262660,ENSG00000262660,protein_coding,0,295254,43,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000183048,SLC25A10,protein_coding,0,304119,44,0,0,0.0,-0.0,1,0.9999898396820628,3,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000186765,FSCN2,protein_coding,0,120260,22,0,1,0.44835659861564636,8.963813893527064,1,0.9999994784076384,34,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000185359,HGS,protein_coding,0,275209,38,0,0,0.0,-0.0,1,0.9999684137190736,2,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000215644,GCGR,protein_coding,0,396015,51,0,0,0.0,-0.0,1,0.999999500315717,10,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000225663,MCRIP1,protein_coding,0,425185,56,0,0,0.0,-0.0,1,0.9999990967138422,4,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000182676,PPP1R27,protein_coding,0,426933,57,0,0,0.0,-0.0,1,0.9999999974194516,7,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000263731,ENSG00000263731,lncRNA,0,472989,67,0,1,0.37051624059677124,5.4499049788842795,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000263859,ENSG00000263859,lncRNA,0,470550,66,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000183684,ALYREF,protein_coding,0,483469,69,0,0,0.0,-0.0,1,0.9999695330496152,2,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000141552,ANAPC11,protein_coding,0,482673,68,0,0,0.0,-0.0,1,0.9999694301037364,2,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000183979,NPB,protein_coding,0,492628,70,0,0,0.0,-0.0,1,0.9999999949998748,4,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000185813,PCYT2,protein_coding,0,503315,72,0,0,0.0,-0.0,1,0.9999930136825383,2,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000184009,ACTG1,protein_coding,0,115730,21,0,1,0.7645667195320129,4.589232259498111,1,0.9999997311858844,19,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000185624,P4HB,protein_coding,0,452739,61,0,1,0.5810561180114746,4.601715089978414,1,0.9999613692028204,2,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000176108,CHMP6,protein_coding,0,416519,55,0,1,0.21277034282684326,5.924636724042253,1,0.9999855925936472,9,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262098,ENSG00000262098,lncRNA,0,382614,49,0,1,0.5654546022415161,7.323907123586091,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000181409,AATK,protein_coding,0,241896,32,0,1,0.28725889325141907,4.780802229071594,1,0.9999999969370692,48,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000225180,PVALEF,protein_coding,0,242610,33,0,1,0.8637063503265381,5.208905724739833,1,0.9999975851649756,21,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000167302,TEPSIN,protein_coding,0,169026,26,0,1,0.7030694484710693,7.4335834016458895,1,0.9999858806316564,4,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000175866,BAIAP2,protein_coding,0,372995,46,0,1,0.4681638181209564,5.159836632740664,1,0.9999881810727916,16,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000182612,TSPAN10,protein_coding,0,229054,30,0,1,1.204108715057373,8.449625615068001,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000266074,BAHCC1,protein_coding,0,12660,3,0,1,0.6697661280632019,5.030969887209337,1,0.9999999974440086,35,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000141564,RPTOR,protein_coding,0,863298,73,0,0,0.0,-0.0,1,0.9999916993852368,4,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000182446,NPLOC4,protein_coding,0,240348,31,0,1,0.32310715317726135,10.277678274081213,1,0.9999996698492172,5,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262313,ENSG00000262313,lncRNA,0,466084,65,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262662,ENSG00000262662,lncRNA,0,446404,60,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000263218,ENSG00000263218,lncRNA,0,407987,54,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000263167,ENSG00000263167,lncRNA,0,272346,37,0,1,0.33069196343421936,4.625371709745386,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262115,ENSG00000262115,lncRNA,0,210724,29,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000260005,ENSG00000260005,lncRNA,0,179410,27,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000276101,ENSG00000276101,lncRNA,0,156923,24,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262873,ENSG00000262873,lncRNA,0,380038,48,0,1,1.2363529205322266,26.20054056971319,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000226137,BAIAP2-DT,lncRNA,0,373236,47,0,1,0.14712615311145782,4.639524815760979,1,0.9999825631797642,9,1
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262831,ENSG00000262831,lncRNA,0,435048,58,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000262413,ENSG00000262413,lncRNA,0,459604,63,0,0,0.0,-0.0,0,0.0,0,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000141522,ARHGDIA,protein_coding,0,463261,64,0,0,0.0,-0.0,1,0.9999984976040628,3,0
LOC_17_81408117_GCST007072,17,81408117,High,ot_platform,ENSG00000293751,ENSG00000293751,lncRNA,0,452985,62,0,0,0.0,-0.0,0,0.0,0,0
